mode,scenario,fg_db,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
contemp,,mtcw_foreground_contemporary,landfill,c3c4,0.00027754513402832465,0.09474231635632595,0.029940777581283936,0.04125435317419252,0.5387991306899996,0.03634477871187514,1.5884001388795626e-05,3.9141141252312415e-05,0.005856940344741422,1.0871135008316397,0.0015329126989406762,0.013035702651860662,0.0003616330731027861,7.376927738902871e-08,0.00014739592086441405,0.00045008828674614605,0.000472893986737261,0.0008326802099424075
contemp,,mtcw_foreground_contemporary,landfill,net_wrapper,0.00027754513402832465,0.09474231635632596,0.029940777581283936,0.04125435317419252,0.5387991306899996,0.03634477871187514,1.5884001388795626e-05,3.9141141252312415e-05,0.005856940344741422,1.0871135008316397,0.0015329126989406762,0.013035702651860662,0.0003616330731027861,7.376927738902871e-08,0.00014739592086441405,0.00045008828674614605,0.000472893986737261,0.0008326802099424075
contemp,,mtcw_foreground_contemporary,recycling_postcons,c3c4,0.004696343144939823,2.1077354783481272,0.882215106327863,1.2152105557950645,46.03110186889884,0.5862493513492392,0.0005820966099805045,-6.349685626451809e-06,0.5347165582232962,33.50613575878986,0.033340604782233295,0.10998370628897412,0.08374845888895345,1.7442447357522522e-06,0.001975623670557743,0.004809727041420834,0.005138240882881032,-0.0008385505740202808
contemp,,mtcw_foreground_contemporary,recycling_postcons,joint,-0.1968916906268964,-29.62173784056877,-1.0579111665847256,-1.5190486799449072,14.762100126993296,-5.7661943546700725,-0.0070065384772827425,-0.0006901717406622576,-46.99817298949027,-7.135488558976886,0.2390492517758018,-0.4293582176456991,-0.8874395135532708,-5.999394864361266e-06,-0.07033297535059985,-0.07302154749574503,-0.07697805233759633,-1.1800968851119291
contemp,,mtcw_foreground_contemporary,recycling_postcons,net_wrapper,-0.1968916906268964,-29.62173784056877,-1.0579111665847256,-1.5190486799449072,14.762100126993296,-5.7661943546700725,-0.0070065384772827425,-0.0006901717406622576,-46.99817298949027,-7.135488558976886,0.2390492517758018,-0.4293582176456991,-0.8874395135532708,-5.999394864361266e-06,-0.07033297535059985,-0.07302154749574503,-0.07697805233759633,-1.1800968851119291
contemp,,mtcw_foreground_contemporary,recycling_postcons,staged_total,-0.20158803377183612,-31.729473318916874,-1.9401262729125894,-2.7342592357399695,-31.269001741905537,-6.35244370601931,-0.007588635087263244,-0.0006838220550358051,-47.53288954771352,-40.64162431776674,0.20570864699356858,-0.539341923934673,-0.9711879724422243,-7.743639600113517e-06,-0.0723085990211576,-0.07783127453716585,-0.08211629322047732,-1.1792583345379102
contemp,,mtcw_foreground_contemporary,reuse,c3c4,3.246511632941366e-05,0.010874582732427033,0.0008049614769503705,0.001079566371969733,0.049311425121386865,0.0030462895405417695,2.911210293156467e-05,5.78085582554032e-05,0.005498110005627875,0.0477184879029659,4.636330814922905e-06,0.0006051054372366889,0.00012146234658360221,1.509323804894806e-08,1.911048185894402e-05,2.57599146248605e-05,2.7440693354122738e-05,0.0014589666505681563
contemp,,mtcw_foreground_contemporary,reuse,joint,-0.2010987284257839,-35.18428456358502,-2.22826723532148,-3.1019289779330297,-42.11162773412101,-7.343171916017933,-0.008892428189707004,-0.001408948985533826,-45.62097915472349,-46.88004629184193,0.018430482900837146,-0.6601352468579146,-0.9345504124104951,-8.655590665688836e-06,-0.07573374107486064,-0.08206262482145413,-0.08663659284763413,-1.1436407474266226
contemp,,mtcw_foreground_contemporary,reuse,net_wrapper,-0.2010987284257839,-35.18428456358502,-2.22826723532148,-3.1019289779330297,-42.11162773412101,-7.343171916017933,-0.008892428189707004,-0.001408948985533826,-45.62097915472349,-46.88004629184193,0.018430482900837142,-0.6601352468579146,-0.9345504124104951,-8.655590665688836e-06,-0.07573374107486064,-0.08206262482145413,-0.08663659284763413,-1.1436407474266226
contemp,,mtcw_foreground_contemporary,reuse,staged_total,-0.20113119354211356,-35.195159146317444,-2.22907219679843,-3.1030085443049997,-42.16093915924242,-7.346218205558472,-0.008921540292638575,-0.0014667575437892295,-45.626477264729125,-46.927764779744905,0.018425846570021664,-0.6607403522951523,-0.9346718747570781,-8.670683903737788e-06,-0.07575285155671957,-0.08208838473607892,-0.08666403354098823,-1.1450997140771881
