mode,scenario,fg_db,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,landfill,c3c4,0.00022845739289824698,0.0753710722304727,0.08321383013737547,0.029790393306837443,0.041018733309212345,0.5272229219937984,0.03227433578345606,6.295199251580259e-06,3.852880655530134e-05,0.004830229740787111,1.0718318025097262,1.5258212284808284e-06,0.013240933381225253,0.00037443014851012193,7.040254666021204e-08,0.0001058006680927883,0.00041518362029402324,0.000437238382740986,0.0007881181066623224
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,landfill,net_wrapper,0.00022845739289824698,0.0753710722304727,0.08321383013737547,0.029790393306837443,0.041018733309212345,0.5272229219937984,0.03227433578345606,6.295199251580259e-06,3.852880655530134e-05,0.004830229740787111,1.0718318025097262,1.5258212284808284e-06,0.013240933381225253,0.00037443014851012193,7.040254666021204e-08,0.0001058006680927883,0.00041518362029402324,0.000437238382740986,0.0007881181066623224
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,recycling_postcons,c3c4,-0.2178280607881736,-28.097295463998936,-28.865814600659565,-2.5929865883042122,-3.4390256914383373,-73.77718738616431,-5.384626446037595,-0.007783412891964341,-0.0005533272805425473,-47.978558852133496,-19.039045778514396,0.23587231925180233,-0.6889070420153842,-0.583551701978423,-3.863901111635073e-06,-0.07645868235837394,-0.07786432249125254,-0.08198743049402768,0.045879114234517356
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,recycling_postcons,joint,-0.43984231308874033,-57.7737277326753,-59.412545188297536,-6.055619520522223,-8.077877046477447,-195.36031168668706,-11.192101608152855,-0.015890075015456143,-0.0010799245518626319,-96.49454351616512,-71.37545551272254,0.4958499761861888,-1.5086013557607025,-1.2416634726298026,-9.141717946461492e-06,-0.15407810224900054,-0.15983448978381418,-0.16836802756444774,0.10188347039398049
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,-0.2178280607881736,-28.097295463998936,-28.865814600659565,-2.5929865883042122,-3.4390256914383373,-73.77718738616431,-5.384626446037595,-0.007783412891964341,-0.0005533272805425473,-47.978558852133496,-19.039045778514396,0.23587231925180233,-0.6889070420153842,-0.583551701978423,-3.863901111635073e-06,-0.07645868235837394,-0.07786432249125254,-0.08198743049402768,0.045879114234517356
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,-0.22201425230056676,-29.67643226867635,-30.54673058763796,-3.4626329322180123,-4.638851355039112,-121.58312430052284,-5.807475162115258,-0.0081066621234918,-0.0005265972713200842,-48.51598466403161,-52.33640973420807,0.25997765693438657,-0.8196943137453185,-0.6581117706513795,-5.277816834826415e-06,-0.07761941989062651,-0.08197016729256161,-0.08638059707041995,0.056004356159463024
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,reuse,c3c4,2.6396805827242895e-05,0.007308015705423526,0.010775414157045199,0.0007516896311545458,0.0010045864510459014,0.04452040785529653,0.0019568102953901752,2.805124527992347e-05,5.781175761115583e-05,0.004637088676483886,0.04559354805951024,-1.205640796882378e-05,0.0013100755914198152,0.0001124789567793795,1.4154785234862709e-08,1.4573987914451546e-05,2.021655303915096e-05,2.1497694776134744e-05,0.001438325084937013
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,reuse,joint,-0.21458273593686955,-31.47903567621858,-32.538197044294066,-3.6558832614603163,-4.880392316532935,-124.30863266687894,-6.38627263955222,-0.008246954364659168,-0.0011898204653530086,-46.42606349074894,-56.09249072279277,0.2555258929894039,-0.9207377482136825,-0.6476264838860825,-5.995738605013358e-06,-0.07612114036152917,-0.08205821179094483,-0.08667542357235523,0.03421592390865796
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,reuse,net_wrapper,-0.21458273593686955,-31.47903567621858,-32.538197044294066,-3.6558832614603163,-4.880392316532935,-124.30863266687894,-6.38627263955222,-0.008246954364659168,-0.0011898204653530086,-46.42606349074894,-56.09249072279277,0.2555258929894039,-0.9207377482136825,-0.6476264838860825,-5.995738605013358e-06,-0.07612114036152917,-0.08205821179094483,-0.08667542357235523,0.03421592390865796
prospect,SSP1VLLO_2050,mtcw_foreground_prospective,reuse,staged_total,-0.21460913274269672,-31.486343691924016,-32.54897245845113,-3.6566349510914726,-4.881396902983974,-124.35315307473405,-6.388229449847609,-0.00827500560993909,-0.001247632222964165,-46.43070057942544,-56.138084270852275,0.25553794939737273,-0.9220478238051026,-0.6477389628428627,-6.009893390248207e-06,-0.07613571434944366,-0.08207842834398385,-0.08669692126713126,0.0327775988237204
