mode,runner,scenario,bg_db,fg_db,route,split_policy,credit_mode,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,landfill,none,external_stageD,c3c4,0.0002415951086242068,0.08105359080658747,0.08738215207378877,0.030050439906280542,0.04135838403875014,0.5525751402609915,0.032910499633189566,8.131480580553723e-06,3.870223351778784e-05,0.004946975226874763,1.0768615068539593,0.00045385056204257063,0.014571269237545122,0.00027102783921848005,7.134504060470298e-08,0.00011343928547652639,0.00042109943835111563,0.0004433709521424481,0.0007539195197784135
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,landfill,none,external_stageD,net_wrapper,0.0002415951086242068,0.08105359080658747,0.08738215207378877,0.030050439906280542,0.04135838403875014,0.5525751402609915,0.032910499633189566,8.131480580553723e-06,3.870223351778784e-05,0.004946975226874763,1.0768615068539593,0.00045385056204257063,0.014571269237545122,0.00027102783921848005,7.134504060470298e-08,0.00011343928547652639,0.00042109943835111563,0.0004433709521424481,0.0007539195197784135
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,c3c4,0.002273075461148271,2.7019914992130465,2.7415049584449127,0.859769448689496,1.1872886879159776,38.20887220671325,0.8081948947547558,0.0005339369087701434,1.845074936448029e-05,0.46388443468672624,32.86896927117481,-0.018041929195106148,0.023202324200104596,0.12055104874020958,2.101020473646655e-06,0.001379424867803265,0.004992532518793086,0.0054331996740152235,0.01708354422668449
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,joint,-0.25100886760649577,-49.069418668705026,-49.93114829983491,-1.4720959459422949,-2.0652494884192465,4.887277097377529,-12.085138683269768,-0.010541278988047818,-0.0010325449677317093,-47.575645434076016,-16.5129101235993,-0.06752822617574504,-0.6918364680452339,-0.9193211867258294,-6.725522224317547e-06,-0.08878912620570382,-0.09706830383551937,-0.10362652160821272,-0.28708398180058625
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,net_wrapper,-0.25100886760649577,-49.069418668705026,-49.93114829983491,-1.4720959459422949,-2.0652494884192465,4.887277097377529,-12.085138683269768,-0.010541278988047818,-0.0010325449677317093,-47.575645434076016,-16.5129101235993,-0.06752822617574504,-0.6918364680452339,-0.9193211867258294,-6.725522224317547e-06,-0.08878912620570382,-0.09706830383551937,-0.10362652160821272,-0.28708398180058625
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,stageD_only,-0.25328194306764407,-51.77141016791806,-52.6726532582798,-2.3318653946317913,-3.2525381763352272,-33.321595109335725,-12.893333578024524,-0.011075215896817966,-0.0010509957170961894,-48.0395298687628,-49.381879394774145,-0.049486296980638965,-0.7150387922453387,-1.0398722354660397,-8.826542697964204e-06,-0.09016855107350703,-0.10206083635431254,-0.10905972128222804,-0.3041675260272708
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,c3c4,2.9651710591805566e-05,0.007583865290579616,0.009627474151928427,0.000907789705640897,0.0012148768356682197,0.04091124912341189,0.001921591751581362,3.2907400754731505e-05,6.809054861644818e-05,0.004865570828304657,0.02950152966352316,0.00011518653325972039,0.000546607131930307,7.202820356632305e-05,1.0146793117068958e-08,1.5787818022338997e-05,1.8542750608625985e-05,1.9715904566938874e-05,0.0014162909314709914
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,joint,-0.24539372040283475,-52.754158525277056,-53.828292499549406,-2.5990471951024348,-3.586396684866912,-43.56662098458346,-13.213758056246371,-0.011059763904552648,-0.001671807860101794,-45.969465873607376,-53.61106891684695,-0.09704290648497156,-0.8234916545733268,-0.9963491693587103,-9.433809860927978e-06,-0.08829639167405164,-0.10166798094746664,-0.10878975008102967,-0.3019220889931187
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,net_wrapper,-0.24539372040283475,-52.754158525277056,-53.828292499549406,-2.5990471951024348,-3.586396684866912,-43.56662098458346,-13.213758056246371,-0.011059763904552648,-0.001671807860101794,-45.969465873607376,-53.61106891684695,-0.09704290648497156,-0.8234916545733268,-0.9963491693587103,-9.433809860927978e-06,-0.08829639167405164,-0.10166798094746664,-0.10878975008102967,-0.3019220889931187
prospect,al_base_routes,SSP2M_2050,prospective_conseq_IMAGE_SSP2M_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,stageD_only,-0.24542337211342652,-52.76174239056758,-53.83791997370129,-2.599954984808076,-3.5876115617025786,-43.6075322337069,-13.215679647997955,-0.011092671305307377,-0.0017398984087182434,-45.974331444435755,-53.640570446510424,-0.0971580930182313,-0.824038261705257,-0.9964211975622767,-9.443956654045041e-06,-0.08831217949207397,-0.10168652369807507,-0.10880946598559645,-0.30333837992458984
