scenario,bg_db,project,fg_db,method,group,activity_name,activity_code,activity_location,activity_unit,amount,lcia_score
SSP1VLLO_2050_PERF,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",C3C4,Aluminium hydrolysis treatment route (CA; C3–C4; Option B water; PSA included; CA electricity) [SSP1VLLO_2050_PERF],al_hydrolysis_treatment_CA__SSP1VLLO_2050_PERF,CA,kilogram,1.0,9.832202395373848
SSP1VLLO_2050_PERF,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced hydrogen (low pressure) from aluminium hydrolysis (CA; prospective) [SSP1VLLO_2050_PERF],StageD_hydrolysis_H2_offset_CA_prospect__SSP1VLLO_2050_PERF,CA,kilogram,1.0,-0.1284431156921247
SSP1VLLO_2050_PERF,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced aluminium hydroxide from aluminium hydrolysis (global receiving market; prospective) [SSP1VLLO_2050_PERF],StageD_hydrolysis_AlOH3_offset_NA_prospect__SSP1VLLO_2050_PERF,CA,kilogram,1.0,-2.3093652781567506
SSP1VLLO_2050_PERF,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",NET,NET: hydrolysis (C3C4 + StageD H2 + StageD AlOH3),NET,,,1.0,7.394394001524972
SSP2M_2050_PERF,prospective_conseq_IMAGE_SSP2M_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",C3C4,Aluminium hydrolysis treatment route (CA; C3–C4; Option B water; PSA included; CA electricity) [SSP2M_2050_PERF],al_hydrolysis_treatment_CA__SSP2M_2050_PERF,CA,kilogram,1.0,9.705409166367604
SSP2M_2050_PERF,prospective_conseq_IMAGE_SSP2M_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced hydrogen (low pressure) from aluminium hydrolysis (CA; prospective) [SSP2M_2050_PERF],StageD_hydrolysis_H2_offset_CA_prospect__SSP2M_2050_PERF,CA,kilogram,1.0,-0.9032850858722076
SSP2M_2050_PERF,prospective_conseq_IMAGE_SSP2M_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced aluminium hydroxide from aluminium hydrolysis (global receiving market; prospective) [SSP2M_2050_PERF],StageD_hydrolysis_AlOH3_offset_NA_prospect__SSP2M_2050_PERF,CA,kilogram,1.0,-2.32851723596084
SSP2M_2050_PERF,prospective_conseq_IMAGE_SSP2M_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",NET,NET: hydrolysis (C3C4 + StageD H2 + StageD AlOH3),NET,,,1.0,6.473606844534556
SSP5H_2050_PERF,prospective_conseq_IMAGE_SSP5H_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",C3C4,Aluminium hydrolysis treatment route (CA; C3–C4; Option B water; PSA included; CA electricity) [SSP5H_2050_PERF],al_hydrolysis_treatment_CA__SSP5H_2050_PERF,CA,kilogram,1.0,5.165031770459489
SSP5H_2050_PERF,prospective_conseq_IMAGE_SSP5H_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced hydrogen (low pressure) from aluminium hydrolysis (CA; prospective) [SSP5H_2050_PERF],StageD_hydrolysis_H2_offset_CA_prospect__SSP5H_2050_PERF,CA,kilogram,1.0,-0.9729186674062528
SSP5H_2050_PERF,prospective_conseq_IMAGE_SSP5H_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",StageD,Stage D credit: displaced aluminium hydroxide from aluminium hydrolysis (global receiving market; prospective) [SSP5H_2050_PERF],StageD_hydrolysis_AlOH3_offset_NA_prospect__SSP5H_2050_PERF,CA,kilogram,1.0,-1.8212074522787118
SSP5H_2050_PERF,prospective_conseq_IMAGE_SSP5H_2050_PERF,pCLCA_CA_2025_prospective,mtcw_foreground_prospective,"ReCiPe 2016 v1.03, midpoint (E) no LT | climate change no LT | global warming potential (GWP1000) no LT",NET,NET: hydrolysis (C3C4 + StageD H2 + StageD AlOH3),NET,,,1.0,2.3709056507745245
