scenario_id,n,qrmse,qrmse_rel,denom_abs_median,meets_tol,stable_hits,tol_qrmse_rel
SSP1VLLO_2050,800,inf,inf,0.5958004355473107,False,0,0.01
SSP1VLLO_2050,1000,0.015479276176865571,0.027702519598605743,0.5587678088907349,False,0,0.01
SSP1VLLO_2050,1200,0.038076639493632124,0.07086571390689371,0.5373069344035506,False,0,0.01
SSP1VLLO_2050,1400,0.03738593864432608,0.0646812563449388,0.5780026665677385,False,0,0.01
SSP1VLLO_2050,1600,0.01618888448798296,0.026675545396774327,0.606881105791395,False,0,0.01
SSP1VLLO_2050,1800,0.007900177920141927,0.012785287607535546,0.6179116311380923,False,0,0.01
SSP1VLLO_2050,2000,0.019409263597222653,0.031106445314823688,0.623962764011908,False,0,0.01
SSP1VLLO_2050,2200,0.007139496804254301,0.01161291893106094,0.6147891711495868,False,0,0.01
SSP1VLLO_2050,2400,0.01959026482639066,0.033507154483452414,0.5846591609581577,False,0,0.01
SSP1VLLO_2050,2600,0.015116268083675659,0.02566960644403438,0.5888780615562839,False,0,0.01
SSP1VLLO_2050,2800,0.005537044373305792,0.009477687399043038,0.584218928117936,True,1,0.01
SSP1VLLO_2050,3000,0.006786159427092722,0.011697607857855508,0.5801322381084513,False,0,0.01
SSP1VLLO_2050,3200,0.008239457682088063,0.014235017942975886,0.5788161079314785,False,0,0.01
SSP1VLLO_2050,3400,0.011964191810637428,0.020964277922326413,0.5706941996745747,False,0,0.01
SSP1VLLO_2050,3600,0.004190010414780775,0.007241352018109386,0.5786226666377043,True,1,0.01
SSP1VLLO_2050,3800,0.007253265807021716,0.012558641193958954,0.5775517983992355,False,0,0.01
SSP1VLLO_2050,4000,0.012373579690015749,0.022121631352115128,0.559343002017465,False,0,0.01
SSP1VLLO_2050,4200,0.005512524333713317,0.009748854101742288,0.5654535677919453,True,1,0.01
SSP1VLLO_2050,4400,0.008938723505541145,0.015822422076560805,0.564940276671224,False,0,0.01
SSP1VLLO_2050,4600,0.007839188086559274,0.01352057322734994,0.5797970215273018,False,0,0.01
SSP1VLLO_2050,4800,0.004999933350269099,0.008584390857944268,0.5824447457028359,True,1,0.01
SSP1VLLO_2050,5000,0.0038659281070897895,0.006639751881837186,0.5822398450859141,True,2,0.01
SSP1VLLO_2050,5200,0.005262580106777094,0.009087854354855289,0.5790783942268509,True,3,0.01
